orbit,E6_E6_1,E6_E6_2,E6_E6_3,E6_E6_4,E6_E6_5,E6_E6_6,E6_E6_7,E6_E6_8,E6_E6_9,E6_E6_10,E6_E6_11,E6_E6_12,E6_3A2_1,E6_3A2_2,E6_3A2_3,E6_3A2_4,E6_A1+A5_1,E6_A1+A5_2,E6_A1+A5_3,E6_A1+A5_4,E6_A1+A5_5,E6_A1+A5_6
E6,['0'],['3A1'],['2A2+A1'],['D4(a1)'],['A4+A1'],['E6(a3)'],['E6(a3)'],['D5'],['E6(a1)'],['E6(a1)'],['E6(a1)'],['E6'],['0'],['3A1'],['2A2+A1'],['D4(a1)'],['0'],['3A1'],['2A2+A1'],['D4(a1)'],['A4+A1'],['E6(a3)']
E6(a1),['A1'],['A2+2A1'],['D4(a1)'],['D5(a1)'],['E6(a3)'],['D5'],['E6(a1)'],['E6(a1)'],['E6'],['E6'],['E6'],['E6'],['A1'],['A2+2A1'],['D4(a1)'],['D4(a1)'],['A1'],['A2+2A1'],['D4(a1)'],['A4+A1'],['E6(a3)'],['E6(a3)']
D5,['2A1'],['A3+A1'],['A4+A1'],['E6(a3)'],['D5'],['E6(a1)'],['E6(a1)'],['E6'],['E6'],['E6'],['E6'],['E6'],['2A1'],['2A2+A1'],['D4(a1)'],['D4(a1)'],['2A1'],['A3+A1'],['A4+A1'],['E6(a3)'],['E6(a3)'],['E6(a3)']
E6(a3),['A2'],['D4(a1)'],['E6(a3)'],['D5'],['E6(a1)'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['A2'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['A2'],['D4(a1)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
D5(a1),['A2+A1'],['A4+A1'],['E6(a3)'],['E6(a1)'],['E6(a1)'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['A2+A1'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['A2+A1'],['A4+A1'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
A5,['A2'],['D4'],['E6(a3)'],['D5'],['E6(a1)'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['A2'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['A2'],['D4(a1)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
A4+A1,['A2+2A1'],['D5(a1)'],['D5'],['E6(a1)'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['A2+2A1'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['A2+2A1'],['A4+A1'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
A4,['A3'],['D5(a1)'],['D5'],['E6(a1)'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['A2+2A1'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['A3'],['A4+A1'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
D4,['2A2'],['A5'],['E6(a3)'],['E6(a1)'],['E6(a1)'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['2A2'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['2A2'],['A5'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
D4(a1),['D4(a1)'],['E6(a3)'],['E6(a1)'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['2A2+A1'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['A3+A1'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
A3+A1,['D4(a1)'],['D5'],['E6(a1)'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['2A2+A1'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
2A2+A1,['D4(a1)'],['D5'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
A3,['A4'],['D5'],['E6(a1)'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['2A2+A1'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['A4'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
A2+2A1,['A4+A1'],['E6(a1)'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['A4+A1'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
2A2,['D4'],['D5'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
A2+A1,['D5(a1)'],['E6(a1)'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['A4+A1'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
A2,['E6(a3)'],['E6(a1)'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['A5'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
3A1,['E6(a3)'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
2A1,['D5'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
A1,['E6(a1)'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
0,['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['E6'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['D4(a1)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)'],['E6(a3)']
