orbit,F4_F4_1,F4_F4_3,F4_F4_5,F4_F4_7,F4_F4_9,F4_F4_11,F4_F4_13,F4_F4_2,F4_F4_4,F4_F4_6,F4_F4_8,F4_F4_10,F4_F4_12,F4_F4_14,F4_F4_16,F4_F4_18,F4_A1+C3_1,F4_A1+C3_3,F4_A1+C3_5,F4_A1+C3_7,F4_A1+C3_2,F4_A1+C3_4,F4_A1+C3_6,F4_A1+C3_8,F4_A1+C3_10,F4_A2+~A2_1,F4_A2+~A2_3,F4_A2+~A2_5,F4_A2+~A2_2,F4_A2+~A2_4,F4_A2+~A2_6,F4_A1+A3_1,F4_A1+A3_3,F4_A1+A3_5,F4_A1+A3_2,F4_A1+A3_4,F4_A1+A3_6,F4_B4_1,F4_B4_3,F4_B4_5,F4_B4_7,F4_B4_9,F4_B4_2,F4_B4_4,F4_B4_6,F4_B4_8,F4_B4_10,F4_B4_12
F4,['1'],['~A2+A1'],['F4(a3)'],['F4(a2)'],['F4(a1)'],['F4(a1)'],['F4'],['A1'],['A2+~A1'],['F4(a3)'],['B3'],['F4(a2)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4'],['1'],['~A2+A1'],['F4(a3)'],['F4(a2)'],['A1'],['A2'],['F4(a3)'],['F4(a3)'],['F4(a2)'],['1'],['~A2+A1'],['F4(a3)'],['A1'],['A2+~A1'],['F4(a3)'],['1'],['A2+~A1'],['F4(a3)'],['A1'],['A2+~A1'],['F4(a3)'],['1'],['A2+~A1'],['F4(a3)'],['B3'],['F4(a1)'],['A1'],['A2+~A1'],['F4(a3)'],['B3'],['B3'],['F4(a1)']
F4(a1),['~A1'],['F4(a3)'],['F4(a1)'],['F4(a1)'],['F4'],['F4'],['F4'],['A2'],['F4(a3)'],['F4(a2)'],['F4(a1)'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['~A1'],['F4(a3)'],['F4(a2)'],['F4(a2)'],['A1+~A1'],['F4(a3)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['~A1'],['F4(a3)'],['F4(a3)'],['A2'],['F4(a3)'],['F4(a3)'],['~A1'],['F4(a3)'],['F4(a3)'],['A2'],['F4(a3)'],['F4(a3)'],['~A1'],['F4(a3)'],['B3'],['F4(a1)'],['F4(a1)'],['A2'],['F4(a3)'],['B3'],['F4(a1)'],['F4(a1)'],['F4(a1)']
F4(a2),['A1+~A1'],['F4(a2)'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['B2'],['B3'],['F4(a1)'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['F4'],['A1+~A1'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['B2'],['F4(a3)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['A1+~A1'],['F4(a3)'],['F4(a3)'],['A2+~A1'],['F4(a3)'],['F4(a3)'],['A1+~A1'],['F4(a3)'],['F4(a3)'],['A2+~A1'],['F4(a3)'],['F4(a3)'],['A1+~A1'],['B3'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['B2'],['B3'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)']
C3,['~A2'],['F4(a2)'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['B2'],['B3'],['F4(a1)'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['F4'],['~A2'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['B2'],['F4(a3)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['~A2'],['F4(a3)'],['F4(a3)'],['A2+~A1'],['F4(a3)'],['F4(a3)'],['A1+~A1'],['F4(a3)'],['F4(a3)'],['B2'],['F4(a3)'],['F4(a3)'],['A1+~A1'],['B3'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['B2'],['B3'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)']
B3,['A2'],['F4(a2)'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['C3(a1)'],['F4(a2)'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['A2'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['C3(a1)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['A2'],['F4(a3)'],['F4(a3)'],['~A2+A1'],['F4(a3)'],['F4(a3)'],['A2'],['F4(a3)'],['F4(a3)'],['A2+~A1'],['F4(a3)'],['F4(a3)'],['A2'],['B3'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['C3(a1)'],['B3'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)']
F4(a3),['F4(a3)'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4(a3)'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['C3(a1)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a3)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['~A2+A1'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['A2+~A1'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['B2'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a3)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)']
C3(a1),['F4(a3)'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['F4'],['B3'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4(a3)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a3)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['~A2+A1'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['A2+~A1'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['C3(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['B3'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)']
B2,['F4(a3)'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4(a2)'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4(a3)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['C3'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['~A2+A1'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['B2'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['B3'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)']
~A2+A1,['F4(a3)'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['B3'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4(a3)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a3)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['A2+~A1'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['C3(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['B3'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)']
A2+~A1,['F4(a3)'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4(a2)'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4(a3)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['B3'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)']
A2,['B3'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4(a3)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['B3'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['B3'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)']
~A2,['C3'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['B3'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['C3'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a3)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['A2+~A1'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['C3(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['B3'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)']
A1+~A1,['F4(a2)'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['B3'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)']
~A1,['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['B3'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)']
A1,['F4(a1)'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)']
1,['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a2)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a3)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)'],['F4(a1)']
